,g,b,Ref Energy,Total Steps,Total Time,RAM Usage
0,0.3,0.3,1.521385045419736,2.5702593186508835,221.88871375843883,780.5703125
0,-0.3,-0.4,2.00457576205504,3.9422352105125507,203.65209488011897,782.2607421875
0,-0.3,0.4,1.999625522394511,2.8424494972371033,200.1097191683948,780.1064453125
0,0.3,-0.4,1.3734502812590137,3.8950912803437614,218.07361291348934,783.6298828125
0,0.3,0.4,1.406811712582091,2.8142697821675253,186.35156615264714,781.1533203125
0,-0.3,-0.5,1.8439991787005867,4.675459409923634,244.4926458466798,785.0244140625
0,-0.3,0.5,1.8471880576730828,3.0303644353190258,191.31513957493007,781.259765625
0,0.3,-0.5,1.1824979335962198,4.680539469238463,221.1358355022967,784.62109375
0,0.3,0.5,1.262165317363583,3.0824143204150865,199.92879460006952,781.7373046875
0,-0.4,0.0,2.357852617704512,2.287398457260748,180.53035718016326,780.0498046875
0,0.4,0.0,1.5467726269253064,2.5084858648703947,146.08893156982958,777.8994140625
0,-0.4,-0.1,2.3411476638880315,2.2805278352936207,204.73197926953435,779.763671875
0,-0.4,0.1,2.3407461211730647,2.313930834426558,183.826854262501,779.5703125
0,0.4,-0.1,1.529539793297386,2.5365568801338756,186.2650522403419,781.1962890625
0,0.4,0.1,1.5299799678040027,2.531397731093814,184.79191036522388,782.484375
0,-0.4,-0.2,2.2915479076731806,2.4337426256828683,178.79339617677033,781.3828125
0,-0.4,0.2,2.2887562995924213,2.429138928118142,183.40277866832912,780.6806640625
0,0.4,-0.2,1.4762950918587179,2.7404136137950323,180.76020322553813,780.052734375
0,0.4,0.2,1.4801524893588174,2.569843016858095,201.99426075071096,782.0126953125
0,-0.4,-0.3,2.2085912409235795,3.1521083290670786,227.5339045803994,781.615234375
0,-0.4,0.3,2.201502601155874,2.68656618435426,208.10896169394255,781.3779296875
0,0.4,-0.3,1.383160108221538,3.241314489371077,209.5162277892232,781.796875
0,0.4,0.3,1.398003682284797,2.730697442721026,208.38344507105649,780.2197265625
0,-0.4,-0.4,2.0908249593326365,3.967956312140771,219.7002448234707,786.138671875
0,-0.4,0.4,2.0799975489236173,2.9043865711039816,191.51962589286268,780.8427734375
0,0.4,-0.4,1.2433038720968788,3.940320944799175,223.00811301358044,783.4296875
0,0.4,0.4,1.2845405275414574,2.9412083501429045,196.96413687057793,781.6044921875
0,-0.4,-0.5,1.9343475383798714,4.700032957477889,216.17327180318534,783.138671875
0,-0.4,0.5,1.926395320927286,3.0278045111380174,200.76507026702166,782.23828125
0,0.4,-0.5,1.0449479753250899,4.86951450155025,247.60806210525334,783.3916015625
0,0.4,0.5,1.1413577175804008,3.1935753178957826,220.80951147899032,782.0927734375
0,-0.5,0.0,2.435584658657467,2.3970709719445105,175.02905515395105,779.583984375
0,0.5,0.0,1.4134529442408992,2.749132453855176,140.91452567838132,775.41015625
0,-0.5,-0.1,2.4189471488911467,2.3844132421649653,206.5023565776646,778.9443359375
0,-0.5,0.1,2.4184477059396716,2.4251584711801897,205.1885457523167,781.443359375
0,0.5,-0.1,1.396120534966745,2.723944818374436,167.0664411317557,782.4326171875
0,0.5,0.1,1.3966879813770374,2.7445070029210346,160.46912546642125,778.720703125
0,-0.5,-0.2,2.3698232958738505,2.475008928601088,175.94085693731904,780.291015625
0,-0.5,0.2,2.3662330331326635,2.521171118650385,193.79165602847934,780.275390625
0,0.5,-0.2,1.3422461285121445,2.8895192797731837,193.28407090902328,780.6376953125
0,0.5,0.2,1.3471236723836308,2.7992128061240056,176.51805359311402,781.095703125
0,-0.5,-0.3,2.2881727919162214,3.074946573839707,207.11462857946754,779.060546875
0,-0.5,0.3,2.27845284965642,2.74733205731899,207.68947628699243,781.42578125
0,0.5,-0.3,1.2472783361975133,3.328589027389942,241.42871960811317,783.1064453125
0,0.5,0.3,1.2656557055033715,2.908186774115957,202.44252800382674,780.5234375
0,-0.5,-0.4,2.172768534563443,3.9799562618284203,207.94000092335045,780.7412109375
